| end of split   3 /  3 | epoch  65 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  66 | time:  7.84s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  66 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  66 | time:  2.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  67 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  67 | time:  7.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  67 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  68 | time:  0.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  68 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  68 | time:  7.87s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  69 | time:  2.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  69 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  69 | time:  7.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  70 | time:  0.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  70 | time:  2.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  70 | time:  7.88s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  71 | time:  0.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  71 | time:  2.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  71 | time:  7.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  72 | time:  7.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
