| end of split   1 /  3 | epoch  59 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  59 | time:  7.87s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  59 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  60 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  60 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  60 | time:  7.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  61 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  61 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  61 | time:  7.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  62 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  62 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  62 | time:  7.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  63 | time:  2.97s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  63 | time:  7.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  63 | time:  0.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  64 | time:  7.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  64 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  64 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  65 | time:  8.04s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  65 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  65 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  66 | time:  2.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
